,population,mortality_rates_prediction,num_deaths_prediction,perc,num_vaccine
IND,1407563842,1.0,1407563842,0.333061,333061.0
USA,336997624,1.0,336997624,0.079741,79741.0
IDN,273753191,1.0,273753191,0.064776,64776.0
PAK,231402116,1.0,231402116,0.054755,54755.0
BRA,214326223,1.0,214326223,0.050714,50714.0
NGA,213401323,1.0,213401323,0.050496,50496.0
MEX,126705138,1.0,126705138,0.029981,29981.0
EGY,109262178,1.0,109262178,0.025854,25854.0
VNM,97468028,1.0,97468028,0.023063,23063.0
COD,95894118,1.0,95894118,0.022691,22691.0
DEU,83408554,1.0,83408554,0.019736,19736.0
ZAF,59392255,1.0,59392255,0.014054,14054.0
KEN,53005614,1.0,53005614,0.012542,12542.0
KOR,51830139,1.0,51830139,0.012264,12264.0
COL,51516562,1.0,51516562,0.01219,12190.0
ESP,47486935,1.0,47486935,0.011236,11236.0
UGA,45853778,1.0,45853778,0.01085,10850.0
ARG,45276780,1.0,45276780,0.010714,10714.0
DZA,44177969,1.0,44177969,0.010454,10454.0
POL,38307726,1.0,38307726,0.009064,9064.0
CAN,38155012,1.0,38155012,0.009028,9028.0
MYS,33573874,1.0,33573874,0.007944,7944.0
YEM,32981641,1.0,32981641,0.007804,7804.0
MOZ,32077072,1.0,32077072,0.00759,7590.0
CIV,27478249,1.0,27478249,0.006502,6502.0
CMR,27198628,1.0,27198628,0.006436,6436.0
TWN,23859912,1.0,23859912,0.005646,5646.0
BFA,22100683,1.0,22100683,0.00523,5230.0
ROU,19328560,1.0,19328560,0.004574,4574.0
ECU,17797737,1.0,17797737,0.004211,4211.0
NLD,17501696,1.0,17501696,0.004141,4141.0
RWA,13461888,1.0,13461888,0.003185,3185.0
TUN,12262946,1.0,12262946,0.002902,2902.0
BEL,11611420,1.0,11611420,0.002748,2748.0
JOR,11148278,1.0,11148278,0.002638,2638.0
DOM,11117874,1.0,11117874,0.002631,2631.0
SSD,10748272,1.0,10748272,0.002543,2543.0
CZE,10510750,1.0,10510750,0.002487,2487.0
SWE,10467097,1.0,10467097,0.002477,2477.0
GRC,10445365,1.0,10445365,0.002472,2472.0
PRT,10290103,1.0,10290103,0.002435,2435.0
HND,10278346,1.0,10278346,0.002432,2432.0
HUN,9709786,1.0,9709786,0.002298,2298.0
ISR,9291000,1.0,9291000,0.002198,2198.0
AUT,8922082,1.0,8922082,0.002111,2111.0
CHE,8691406,1.0,8691406,0.002057,2057.0
TGO,8644829,1.0,8644829,0.002046,2046.0
SLE,8420641,1.0,8420641,0.001993,1993.0
LAO,7425058,1.0,7425058,0.001757,1757.0
BGR,6885868,1.0,6885868,0.001629,1629.0
NIC,6850540,1.0,6850540,0.001621,1621.0
DNK,5854240,1.0,5854240,0.001385,1385.0
LBN,5592631,1.0,5592631,0.001323,1323.0
FIN,5535992,1.0,5535992,0.00131,1310.0
CAF,5457154,1.0,5457154,0.001291,1291.0
SVK,5447622,1.0,5447622,0.001289,1289.0
NOR,5403021,1.0,5403021,0.001278,1278.0
CRI,5153957,1.0,5153957,0.00122,1220.0
PSE,5133392,1.0,5133392,0.001215,1215.0
NZL,5129728,1.0,5129728,0.001214,1214.0
ARE,9365144,0.5243045033130329,4910187,0.001162,1162.0
OMN,4520471,1.0,4520471,0.00107,1070.0
KWT,4250114,1.0,4250114,0.001006,1006.0
HRV,4060135,1.0,4060135,0.000961,961.0
GEO,3757980,1.0,3757980,0.000889,889.0
ERI,3620312,1.0,3620312,0.000857,857.0
BIH,3270943,1.0,3270943,0.000774,774.0
MDA,3061506,1.0,3061506,0.000724,724.0
JAM,2827694,1.0,2827694,0.000669,669.0
LTU,2786651,1.0,2786651,0.000659,659.0
NAM,2530151,1.0,2530151,0.000599,599.0
LSO,2281454,1.0,2281454,0.00054,540.0
SVN,2119410,1.0,2119410,0.000502,501.99999999999994
MKD,2103330,1.0,2103330,0.000498,497.99999999999994
LVA,1873919,1.0,1873919,0.000443,443.0
GNQ,1634466,1.0,1634466,0.000387,387.0
TTO,1525663,1.0,1525663,0.000361,361.0
EST,1328701,1.0,1328701,0.000314,314.0
TLS,1320942,1.0,1320942,0.000313,313.0
FJI,924610,1.0,924610,0.000219,219.0
BTN,777486,1.0,777486,0.000184,184.0
LUX,639321,1.0,639321,0.000151,151.0
MNE,627859,1.0,627859,0.000149,149.0
SUR,612984,1.0,612984,0.000145,145.0
MLT,526748,1.0,526748,0.000125,125.0
MDV,521458,1.0,521458,0.000123,123.00000000000001
BHS,407906,1.0,407906,9.7e-05,97.0
BLZ,400031,1.0,400031,9.5e-05,95.0
ISL,370335,1.0,370335,8.8e-05,88.0
PYF,304032,1.0,304032,7.2e-05,72.0
BRB,281200,1.0,281200,6.7e-05,67.0
LCA,179652,1.0,179652,4.3e-05,43.0
SYC,106470,1.0,106470,2.5e-05,25.0
ABW,106536,1.0,106536,2.5e-05,25.0
ATG,93220,1.0,93220,2.2e-05,22.0
IMN,84263,1.0,84263,2e-05,20.0
AND,79034,1.0,79034,1.9e-05,19.0
VUT,319136,0.25000022683459,79784,1.9e-05,19.0
FRO,52888,1.0,52888,1.3e-05,13.0
KNA,47606,1.0,47606,1.1e-05,11.0
TCA,45114,1.0,45114,1.1e-05,11.0
LIE,39039,1.0,39039,9e-06,9.0
MCO,36686,1.0,36686,9e-06,9.0
VGB,31122,1.0,31122,7e-06,7.0
MSR,4417,1.0,4417,1e-06,1.0
