,population,mortality_rates_prediction,num_deaths_prediction,perc,num_vaccine
BTN,777486,0.007120422786101699,5536,1.1e-05,11.0
BHR,1463265,0.003300440963357687,4829,9e-06,9.0
PYF,304032,0.015856835583690554,4820,9e-06,9.0
VGB,31122,0.10647450760006905,3313,6e-06,6.0
LIE,39039,0.06454302556812763,2519,5e-06,5.0
MCO,36686,0.05961194634437561,2186,4e-06,4.0
MSR,4417,0.28098481707274914,1241,2e-06,2.0
AND,79034,0.01204957626760006,952,2e-06,2.0
FRO,52888,0.006889590993523598,364,1e-06,1.0
GIB,32670,0.009378790855407715,306,1e-06,1.0
