,population,mortality_rates_prediction,num_deaths_prediction,perc,num_vaccine
IND,1407563842,1.0,1407563842,0.355779,355779.0
USA,336997624,0.8546222834847867,288005678,0.072797,72797.0
IDN,273753191,1.0,273753191,0.069194,69194.0
PAK,231402116,1.0,231402116,0.05849,58490.0
BRA,214326223,1.0,214326223,0.054174,54174.0
NGA,213401323,1.0,213401323,0.05394,53940.0
MEX,126705138,1.0,126705138,0.032026,32026.0
EGY,109262178,1.0,109262178,0.027617,27617.0
VNM,97468028,1.0,97468028,0.024636,24636.0
COD,95894118,1.0,95894118,0.024238,24238.0
ZAF,59392255,1.0,59392255,0.015012,15012.0
KEN,53005614,1.0,53005614,0.013398,13398.0
COL,51516562,1.0,51516562,0.013021,13021.0
ESP,47486935,1.0,47486935,0.012003,12003.0
UGA,45853778,1.0,45853778,0.01159,11590.0
ARG,45276780,1.0,45276780,0.011444,11444.0
DZA,44177969,1.0,44177969,0.011167,11167.0
POL,38307726,1.0,38307726,0.009683,9683.0
KOR,51830139,0.6806549257598817,35278439,0.008917,8917.0
YEM,32981641,1.0,32981641,0.008337,8337.0
CIV,27478249,1.0,27478249,0.006945,6945.0
CMR,27198628,1.0,27198628,0.006875,6875.0
TWN,23859912,1.0,23859912,0.006031,6031.0
BFA,22100683,1.0,22100683,0.005586,5586.0
ROU,19328560,1.0,19328560,0.004886,4886.0
ECU,17797737,1.0,17797737,0.004499,4499.0
NLD,17501696,1.0,17501696,0.004424,4424.0
MOZ,32077072,0.4537782985717058,14555879,0.003679,3679.0
TUN,12262946,1.0,12262946,0.0031,3100.0
BEL,11611420,1.0,11611420,0.002935,2935.0
JOR,11148278,1.0,11148278,0.002818,2818.0
DOM,11117874,1.0,11117874,0.00281,2810.0
SSD,10748272,1.0,10748272,0.002717,2717.0
CZE,10510750,1.0,10510750,0.002657,2657.0
SWE,10467097,1.0,10467097,0.002646,2646.0
GRC,10445365,1.0,10445365,0.00264,2640.0
PRT,10290103,1.0,10290103,0.002601,2601.0
HND,10278346,1.0,10278346,0.002598,2598.0
HUN,9709786,1.0,9709786,0.002454,2454.0
ISR,9291000,1.0,9291000,0.002348,2348.0
AUT,8922082,1.0,8922082,0.002255,2255.0
TGO,8644829,1.0,8644829,0.002185,2185.0
SLE,8420641,1.0,8420641,0.002128,2128.0
LAO,7425058,1.0,7425058,0.001877,1877.0
NIC,6850540,1.0,6850540,0.001732,1732.0
MYS,33573874,0.20288471365347505,6811625,0.001722,1722.0
DNK,5854240,1.0,5854240,0.00148,1480.0
RWA,13461888,0.4163932781666517,5605439,0.001417,1417.0
LBN,5592631,1.0,5592631,0.001414,1414.0
FIN,5535992,1.0,5535992,0.001399,1399.0
CAF,5457154,1.0,5457154,0.001379,1379.0
SVK,5447622,1.0,5447622,0.001377,1377.0
BGR,6885868,0.7584449439309537,5222551,0.00132,1320.0
NZL,5129728,1.0,5129728,0.001297,1297.0
KWT,4250114,1.0,4250114,0.001074,1074.0
HRV,4060135,1.0,4060135,0.001026,1026.0
GEO,3757980,1.0,3757980,0.00095,950.0
ERI,3620312,1.0,3620312,0.000915,915.0
BIH,3270943,1.0,3270943,0.000827,827.0
HTI,11447569,0.27483403217047453,3146181,0.000795,795.0
MDA,3061506,1.0,3061506,0.000774,774.0
JAM,2827694,1.0,2827694,0.000715,715.0
NOR,5403021,0.4387666257098317,2370665,0.000599,599.0
LSO,2281454,1.0,2281454,0.000577,577.0
CHE,8691406,0.24934649374336004,2167171,0.000548,548.0
SVN,2119410,1.0,2119410,0.000536,536.0
MKD,2103330,1.0,2103330,0.000532,532.0
OMN,4520471,0.45491937747283373,2056449,0.00052,520.0
TTO,1525663,1.0,1525663,0.000386,386.0
EST,1328701,1.0,1328701,0.000336,336.0
TLS,1320942,1.0,1320942,0.000334,334.0
LVA,1873919,0.6632993575185537,1242969,0.000314,314.0
NAM,2530151,0.4831773522309959,1222511,0.000309,309.0
GNQ,1634466,0.5921041993424296,967774,0.000245,245.0
FJI,924610,1.0,924610,0.000234,234.0
CRI,5153957,0.16417375604214612,846144,0.000214,214.0
LUX,639321,1.0,639321,0.000162,162.0
MNE,627859,1.0,627859,0.000159,159.0
SUR,612984,1.0,612984,0.000155,155.0
MLT,526748,1.0,526748,0.000133,133.0
PSE,5133392,0.09199107011954766,472226,0.000119,119.0
BHS,407906,1.0,407906,0.000103,103.0
MDV,521458,0.7759296253789216,404614,0.000102,102.0
BLZ,400031,1.0,400031,0.000101,101.0
BTN,777486,0.46603154693730175,362333,9.2e-05,92.0
ISL,370335,0.8472661501727998,313772,7.9e-05,79.0
BRB,281200,1.0,281200,7.1e-05,71.0
LCA,179652,1.0,179652,4.5e-05,45.0
SYC,106470,1.0,106470,2.7e-05,27.0
PYF,304032,0.3517974900896661,106957,2.7e-05,27.0
ABW,106536,1.0,106536,2.7e-05,27.0
ATG,93220,1.0,93220,2.4e-05,24.0
IMN,84263,1.0,84263,2.1e-05,21.0
AND,79034,1.0,79034,2e-05,20.0
VUT,319136,0.2500000011389682,79784,2e-05,20.0
KNA,47606,1.0,47606,1.2e-05,12.0
FRO,52888,0.9035949371755123,47789,1.2e-05,12.0
TCA,45114,1.0,45114,1.1e-05,11.0
LIE,39039,1.0,39039,1e-05,10.0
MCO,36686,1.0,36686,9e-06,9.0
VGB,31122,1.0,31122,8e-06,8.0
MSR,4417,1.0,4417,1e-06,1.0
